Dataset,Model,R²,R² (95% CI),p-value,MAE,Type,R² (±95% CI),Formatted R²
biotoxin,LASSO,-0.0079,"[-0.018, -0.002]",< 0.05,,Baseline,±0.053,-0.008 (±0.053)
biotoxin,MEAN,-0.0077,"[-0.018, -0.002]",< 0.05,,Baseline,±0.046,-0.008 (±0.046)
biotoxin,RIDGE,-0.0082,"[-0.018, -0.002]",< 0.05,,Baseline,±0.049,-0.008 (±0.049)
biotoxin,LSTM,0.1011,,< 0.05,15.5862,Deep Learning,±0.035,0.101 (±0.035)
biotoxin,TRANSFORMER,-0.0013,,> 0.05,17.4857,Deep Learning,±0.049,-0.001 (±0.049)
biotoxin,RF,-0.0069,"[-0.012, -0.004]",< 0.05,,Traditional ML,±0.045,-0.007 (±0.045)
biotoxin,SVR,-0.447,"[-0.507, -0.413]",< 0.05,,Traditional ML,±0.049,-0.447 (±0.049)
biotoxin,XGB,-0.0073,"[-0.013, -0.004]",< 0.05,,Traditional ML,±0.042,-0.007 (±0.042)
cast,LASSO,-0.2848,"[-0.568, -0.000]",< 0.05,,Baseline,±0.057,-0.285 (±0.057)
cast,MEAN,-0.0613,"[-0.179, -0.001]",< 0.05,,Baseline,±0.043,-0.061 (±0.043)
cast,RIDGE,-0.2852,"[-0.574, -0.002]",< 0.05,,Baseline,±0.053,-0.285 (±0.053)
cast,RF,0.0506,"[-0.060, 0.189]",> 0.05,,Traditional ML,±0.035,0.051 (±0.035)
cast,SVR,-0.1609,"[-0.563, 0.057]",> 0.05,,Traditional ML,±0.050,-0.161 (±0.050)
cast,XGB,-0.5552,"[-1.066, -0.089]",< 0.05,,Traditional ML,±0.058,-0.555 (±0.058)
cleaned_data,LASSO,-0.0067,"[-0.015, -0.000]",< 0.05,,Baseline,±0.055,-0.007 (±0.055)
cleaned_data,MEAN,-0.007,"[-0.016, -0.001]",< 0.05,,Baseline,±0.048,-0.007 (±0.048)
cleaned_data,RIDGE,0.6878,"[0.649, 0.718]",< 0.05,,Baseline,±0.025,0.688 (±0.025)
cleaned_data,LSTM,0.4018,,< 0.05,0.055,Deep Learning,±0.040,0.402 (±0.040)
cleaned_data,TRANSFORMER,0.0263,,> 0.05,0.0694,Deep Learning,±0.028,0.026 (±0.028)
cleaned_data,RF,0.8039,"[0.774, 0.825]",< 0.05,,Traditional ML,±0.011,0.804 (±0.011)
cleaned_data,SVR,0.3258,"[-0.043, 0.546]",> 0.05,,Traditional ML,±0.035,0.326 (±0.035)
cleaned_data,XGB,0.8016,"[0.762, 0.834]",< 0.05,,Traditional ML,±0.021,0.802 (±0.021)
era5_daily,LASSO,0.0608,"[-0.052, 0.174]",> 0.05,,Baseline,±0.034,0.061 (±0.034)
era5_daily,MEAN,-0.0672,"[-0.128, -0.009]",< 0.05,,Baseline,±0.046,-0.067 (±0.046)
era5_daily,RIDGE,0.0605,"[-0.085, 0.207]",> 0.05,,Baseline,±0.028,0.060 (±0.028)
era5_daily,RF,0.6996,"[0.563, 0.834]",< 0.05,,Traditional ML,±0.019,0.700 (±0.019)
era5_daily,SVR,0.6195,"[0.311, 0.853]",< 0.05,,Traditional ML,±0.028,0.620 (±0.028)
era5_daily,XGB,0.685,"[0.544, 0.826]",< 0.05,,Traditional ML,±0.036,0.685 (±0.036)
hydrographic,LASSO,-0.4805,"[-1.144, -0.071]",< 0.05,,Baseline,±0.051,-0.480 (±0.051)
hydrographic,MEAN,-0.4805,"[-1.104, -0.063]",< 0.05,,Baseline,±0.048,-0.480 (±0.048)
hydrographic,RIDGE,-0.573,"[-1.141, -0.189]",< 0.05,,Baseline,±0.047,-0.573 (±0.047)
hydrographic,LSTM,0.6882,,< 0.05,0.1213,Deep Learning,±0.027,0.688 (±0.027)
hydrographic,TRANSFORMER,0.6364,,< 0.05,0.1385,Deep Learning,±0.027,0.636 (±0.027)
hydrographic,RF,-1.1945,"[-2.374, -0.299]",< 0.05,,Traditional ML,±0.051,-1.194 (±0.051)
hydrographic,SVR,-1.2152,"[-2.275, -0.621]",< 0.05,,Traditional ML,±0.057,-1.215 (±0.057)
hydrographic,XGB,-1.341,"[-2.669, -0.362]",< 0.05,,Traditional ML,±0.044,-1.341 (±0.044)
processed_seq,LASSO,-0.0475,"[-0.100, -0.001]",< 0.05,,Baseline,±0.053,-0.048 (±0.053)
processed_seq,MEAN,-0.0475,"[-0.100, -0.001]",< 0.05,,Baseline,±0.053,-0.048 (±0.053)
processed_seq,RIDGE,0.0901,"[0.055, 0.134]",< 0.05,,Baseline,±0.039,0.090 (±0.039)
processed_seq,LSTM,0.6172,,< 0.05,0.0421,Deep Learning,±0.019,0.617 (±0.019)
processed_seq,TRANSFORMER,0.0099,,> 0.05,0.0743,Deep Learning,±0.029,0.010 (±0.029)
processed_seq,RF,0.0627,"[0.034, 0.097]",< 0.05,,Traditional ML,±0.030,0.063 (±0.030)
processed_seq,SVR,-0.1138,"[-0.186, -0.028]",< 0.05,,Traditional ML,±0.055,-0.114 (±0.055)
processed_seq,XGB,-0.0726,"[-0.102, -0.045]",< 0.05,,Traditional ML,±0.049,-0.073 (±0.049)
rolling_mean,LASSO,-0.0774,"[-0.198, -0.010]",< 0.05,,Baseline,±0.049,-0.077 (±0.049)
rolling_mean,MEAN,-0.0786,"[-0.199, -0.011]",< 0.05,,Baseline,±0.058,-0.079 (±0.058)
rolling_mean,RIDGE,0.8366,"[0.810, 0.855]",< 0.05,,Baseline,±0.027,0.837 (±0.027)
rolling_mean,LSTM,0.6212,,< 0.05,0.0207,Deep Learning,±0.025,0.621 (±0.025)
rolling_mean,TRANSFORMER,0.1417,,< 0.05,0.0336,Deep Learning,±0.034,0.142 (±0.034)
rolling_mean,RF,0.8554,"[0.847, 0.864]",< 0.05,,Traditional ML,±0.018,0.855 (±0.018)
rolling_mean,SVR,-0.1782,"[-0.533, 0.072]",> 0.05,,Traditional ML,±0.045,-0.178 (±0.045)
rolling_mean,XGB,0.8464,"[0.835, 0.860]",< 0.05,,Traditional ML,±0.014,0.846 (±0.014)
