dataset,model,r2_mean,r2_std,mae_mean,rmse_mean,r2_formatted
biotoxin,mean,-0.008849553017207615,0.006521155605234739,18.092518474532522,20.79992988949195,-0.009±0.007
biotoxin,median,-0.43156923301881395,0.015594194319176217,17.540191752035724,24.776387303714206,-0.432±0.016
biotoxin,seasonal_naive,-0.008849553017207615,0.006521155605234739,18.092518474532522,20.79992988949195,-0.009±0.007
biotoxin,linear_trend,-0.01741003081278462,0.0057420360433061415,18.155810017425463,20.88803314897204,-0.017±0.006
biotoxin,ridge,-0.008300381953480596,0.004230329525461234,18.073960863649635,20.794416557445814,-0.008±0.004
biotoxin,lasso,-0.008392994718023091,0.004777556019457671,18.073873411513752,20.795329176858186,-0.008±0.005
cast,mean,-0.006058151018975962,0.004017043994067626,1399.1333397295282,1519.8204139519746,-0.006±0.004
cast,median,-0.011657309079822728,0.011331927373379052,1401.2547749725575,1523.8361102664092,-0.012±0.011
cast,seasonal_naive,-0.006058151018975962,0.004017043994067626,1399.1333397295282,1519.8204139519746,-0.006±0.004
cast,linear_trend,-0.11183823288868762,0.15778421132436024,1442.601046397592,1590.927174388431,-0.112±0.158
cast,ridge,-1.5454977017333187,1.675060522119657,1885.9063235578158,2272.114770894533,-1.545±1.675
cast,lasso,-1.5778965325833614,1.6649426556476463,1897.014072490116,2291.608462680436,-1.578±1.665
era5_daily,mean,-0.04347829392158187,0.036352147164766105,1.5389946098146312,1.8839438524148335,-0.043±0.036
era5_daily,median,-0.10334583527146372,0.11782373074586744,1.5326426187479634,1.932963414299025,-0.103±0.118
era5_daily,seasonal_naive,-0.04347829392158187,0.036352147164766105,1.5389946098146312,1.8839438524148335,-0.043±0.036
era5_daily,linear_trend,-0.04965419585948686,0.027583560090594116,1.5546621240296412,1.889985311871835,-0.050±0.028
era5_daily,ridge,0.06294501251950657,0.11679190825813539,1.421996001314388,1.7799741967692684,0.063±0.117
era5_daily,lasso,0.09631778879264456,0.08458560210628795,1.4027337550836354,1.749539446075401,0.096±0.085
cleaned_data,mean,-0.009233415124454192,0.006731170233540207,0.06641423570265072,0.08544117930388972,-0.009±0.007
cleaned_data,median,-0.09768375868772061,0.05727634758378019,0.0631664766803139,0.08918439113305239,-0.098±0.057
cleaned_data,seasonal_naive,-0.009233415124454192,0.006731170233540207,0.06641423570265072,0.08544117930388972,-0.009±0.007
cleaned_data,linear_trend,-0.0061486710085217515,0.0052626419281053575,0.06683743621390544,0.08530146803114513,-0.006±0.005
cleaned_data,ridge,0.6976897657856123,0.004106768695151753,0.03456663759181484,0.04674642711539175,0.698±0.004
cleaned_data,lasso,-0.009233415124454192,0.006731170233540207,0.06641423570265072,0.08544117930388972,-0.009±0.007
rolling_mean,mean,-0.0834263932436401,0.09172190234989451,0.036473312173332335,0.04664016328170934,-0.083±0.092
rolling_mean,median,-0.09678534765097835,0.059741719681096817,0.036227415901706396,0.046937588659859385,-0.097±0.060
rolling_mean,seasonal_naive,-0.0834263932436401,0.09172190234989451,0.036473312173332335,0.04664016328170934,-0.083±0.092
rolling_mean,linear_trend,-0.12646203545138043,0.14201320207982687,0.03773021006725765,0.04750328387907555,-0.126±0.142
rolling_mean,ridge,0.8491977364225228,0.009496938344133768,0.01255689274982097,0.017343858505876057,0.849±0.009
rolling_mean,lasso,-0.0834263932436401,0.09172190234989451,0.036473312173332335,0.04664016328170934,-0.083±0.092
processed_seq,mean,-0.018522176779512362,0.024489936783199988,0.07340699560082915,0.08907624569100192,-0.019±0.024
processed_seq,median,-0.05008314602224817,0.024497783160711734,0.06778660547536088,0.09052912756682713,-0.050±0.024
processed_seq,seasonal_naive,-0.018522176779512362,0.024489936783199988,0.07340699560082915,0.08907624569100192,-0.019±0.024
processed_seq,linear_trend,-0.0430393873661129,0.08774445048741276,0.07532913002353563,0.08984341562353831,-0.043±0.088
processed_seq,ridge,0.11034027336491496,0.06812599926689676,0.06452025788556252,0.08302737068139229,0.110±0.068
processed_seq,lasso,-0.018522176779512362,0.024489936783199988,0.07340699560082915,0.08907624569100192,-0.019±0.024
hydrographic,mean,-0.02320975940433634,0.030152660414470726,4.593924874378401,5.862780308081433,-0.023±0.030
hydrographic,median,-0.014186251300603395,0.005501837312275613,4.527529378045286,5.837013274002121,-0.014±0.006
hydrographic,seasonal_naive,-0.02320975940433634,0.030152660414470726,4.593924874378401,5.862780308081433,-0.023±0.030
hydrographic,linear_trend,-0.14272391880122745,0.20338892258129784,4.866778020048578,6.174703981293578,-0.143±0.203
hydrographic,ridge,0.9978421979802264,0.0009249825006838802,0.20015818193282195,0.2638159717979636,0.998±0.001
hydrographic,lasso,0.9962639247649552,0.0010168515508458295,0.27283840306464224,0.35147677577468456,0.996±0.001
phyto_wide,mean,-0.0024110801372633586,0.003409782230086226,23.73673094582186,118.77401589071413,-0.002±0.003
phyto_wide,median,0.6631245686343796,0.4764138038675471,11.084848484848486,108.10210287716261,0.663±0.476
phyto_wide,seasonal_naive,-0.0024110801372633586,0.003409782230086226,23.73673094582186,118.77401589071413,-0.002±0.003
phyto_wide,linear_trend,-0.0036150326873578553,0.005112428254883536,23.73337392443996,118.49701580586246,-0.004±0.005
phyto_wide,ridge,-3.9403031880546577,5.572430208408841,253.81524859880787,857.8447700931423,-3.940±5.572
phyto_wide,lasso,-2.155768161075396,3.048716570724932,407.5884863889955,1359.9072656353478,-2.156±3.049
phyto_long,mean,-0.10220790539551827,0.09683488478584346,2399.673313270405,3127.0547520236173,-0.102±0.097
phyto_long,median,-0.2918866144101618,0.1793820978287565,2518.577777777778,3372.1661215955496,-0.292±0.179
phyto_long,seasonal_naive,-0.10220790539551827,0.09683488478584346,2399.673313270405,3127.0547520236173,-0.102±0.097
phyto_long,linear_trend,-0.15710753357101806,0.08326782175279497,2412.819485571547,3210.828465941116,-0.157±0.083
phyto_long,ridge,-0.07550241064229164,0.06969568901896263,2418.5345141689504,3090.31450378429,-0.076±0.070
phyto_long,lasso,-0.07516598104839933,0.06839998477434862,2418.6821444805073,3089.876749482099,-0.075±0.068
